a	A	occurrence?id_SignBankVariant=373

green	green	occurrence?id_SignBankVariant=1417

grief	ache, cramp, grief	occurrence?id_SignBankVariant=1418
*grief (feel+grief)	ache, cramp, grief	occurrence?id_SignBankVariant=3608
*grief (touch-heart+grief)	ache, cramp, grief	occurrence?id_SignBankVariant=6335
*grief* (touch-heart+grief+(1h)(5)touch-heart)	ache, cramp, grief	occurrence?id_SignBankVariant=6143

grip	grasp, grip, hold	occurrence?id_SignBankVariant=1419

grouchy	grouchy, grumpy, irrittable	occurrence?id_SignBankVariant=1420

ground	ground, land, sand	occurrence?id_SignBankVariant=1421
*ground (play+ground)	ground, land, sand	occurrence?id_SignBankVariant=3956
*ground* (king+ground+area)	ground, land, sand	occurrence?id_SignBankVariant=7682
ground* (ground+(1h)area)	ground, land, sand	occurrence?id_SignBankVariant=7663
ground* (ground+area)	ground, land, sand	occurrence?id_SignBankVariant=3686
ground* (ground+area_2)	ground, land, sand	occurrence?id_SignBankVariant=3689

ground+area	area, ground, space	occurrence?id_SignBankVariant=3685
ground+(1h)area	area, ground, space	occurrence?id_SignBankVariant=7665

ground+area_2	area, ground, space	occurrence?id_SignBankVariant=3688

group	category, gather, group, organize	occurrence?id_SignBankVariant=1422
*group (music+group)	category, gather, group, organize	occurrence?id_SignBankVariant=6171
group:j	category, gather, group, organize	occurrence?id_SignBankVariant=4705

group/together	category, gang, gather, group, organize	occurrence?id_SignBankVariant=1423
*group/together (music+group/together)	category, gang, gather, group, organize	occurrence?id_SignBankVariant=3855
group/together-pl	category, gang, gather, group, organize	occurrence?id_SignBankVariant=4725
group/together:j	category, gang, gather, group, organize	occurrence?id_SignBankVariant=4710

grow	grow, plant, spring	occurrence?id_SignBankVariant=1424
grow* (grow+collect)	grow, plant, spring	occurrence?id_SignBankVariant=3695
grow* (grow+collectwg)	grow, plant, spring	occurrence?id_SignBankVariant=6161
grow* (grow+fs-up)	grow, plant, spring	occurrence?id_SignBankVariant=5543

grow+collect	harvest	occurrence?id_SignBankVariant=3691

grow+collectwg	grow+collectwg	occurrence?id_SignBankVariant=6246

grow+fs-up	grow+fs-up	occurrence?id_SignBankVariant=5926

grow-up	grow up, raised	occurrence?id_SignBankVariant=1425

grumpy/cranky	cranky, grumpy	occurrence?id_SignBankVariant=6475

#grunt	#grunt	occurrence?id_SignBankVariant=6565

guarantee	guarantee	occurrence?id_SignBankVariant=4431

guilty	apprehensive, guilt, guilty	occurrence?id_SignBankVariant=1426
(1)guilty	apprehensive, guilt, guilty	occurrence?id_SignBankVariant=4443

guitar	argentina, guitar, play guitar, strum	occurrence?id_SignBankVariant=1427

gum	chewing gum, gum	occurrence?id_SignBankVariant=1428

gun	firearm, gun, pistol	occurrence?id_SignBankVariant=1429

gym	gym	occurrence?id_SignBankVariant=1430
(crvd-l)gym	gym	occurrence?id_SignBankVariant=226
(g)gym	gym	occurrence?id_SignBankVariant=252

gymnastics	gymnastics	occurrence?id_SignBankVariant=1431

h	H	occurrence?id_SignBankVariant=1432

#ha-ha	#ha-ha	occurrence?id_SignBankVariant=20

habit	accustom, custom, habit, habituated	occurrence?id_SignBankVariant=1433
habit_2	accustom, custom, habit, habituated	occurrence?id_SignBankVariant=1434
habit_3	accustom, custom, habit, habituated	occurrence?id_SignBankVariant=1435

had-it	have had it	occurrence?id_SignBankVariant=5295

hair	hair	occurrence?id_SignBankVariant=1436
hair* (hair+dye)	hair	occurrence?id_SignBankVariant=5377
hair* (hair+hair-fall-out)	hair	occurrence?id_SignBankVariant=5398

hair+dye	hair+dye	occurrence?id_SignBankVariant=5218

hair+hair-fall-out	hair+hair-fall-out	occurrence?id_SignBankVariant=5783

hair-fall-out	hair falling out	occurrence?id_SignBankVariant=5645
*hair-fall-out (hair+hair-fall-out)	hair falling out	occurrence?id_SignBankVariant=5707

hair_2* (hair_2+blond)	hair_2* (hair_2+blond)	occurrence?id_SignBankVariant=3698
hair_2* (hair_2+dye)	hair_2* (hair_2+dye)	occurrence?id_SignBankVariant=5018

hair_2+blond	blonde	occurrence?id_SignBankVariant=3697

hair_2+dye	hair_2+dye	occurrence?id_SignBankVariant=5196

hairbrush	comb, hairbrush	occurrence?id_SignBankVariant=1437

haircut	haircut, trim	occurrence?id_SignBankVariant=1438
(1h)haircut	haircut, trim	occurrence?id_SignBankVariant=6190
(1h)haircut* ((1h)haircut+agent)	haircut, trim	occurrence?id_SignBankVariant=3129
(2h)alt.haircut	haircut, trim	occurrence?id_SignBankVariant=137
(2h)alt.haircut* ((2h)alt.haircut+agent)	haircut, trim	occurrence?id_SignBankVariant=3151
haircut* (haircut+agent)	haircut, trim	occurrence?id_SignBankVariant=3701
haircut_2	haircut, trim	occurrence?id_SignBankVariant=1441

(2h)alt.haircut+agent	barber, hair stylist	occurrence?id_SignBankVariant=3150

haircut+agent	barber, hair stylist	occurrence?id_SignBankVariant=3700

(1h)haircut+agent	barber, hair stylist	occurrence?id_SignBankVariant=3128

haircut/trim	haircut, trim	occurrence?id_SignBankVariant=1439
haircut/trim_2	haircut, trim	occurrence?id_SignBankVariant=1440

half	half, one half	occurrence?id_SignBankVariant=1442
(2h)half	half, one half	occurrence?id_SignBankVariant=5995
*half (age-six+half)	half, one half	occurrence?id_SignBankVariant=5255
*half (old+age-six+half)	half, one half	occurrence?id_SignBankVariant=5260
*half (six+half)	half, one half	occurrence?id_SignBankVariant=5265
*half (twelve+half)	half, one half	occurrence?id_SignBankVariant=5263
half_2	half, one half	occurrence?id_SignBankVariant=1444

half-half	fifty percent, half-half	occurrence?id_SignBankVariant=1443
(2h)half-half	fifty percent, half-half	occurrence?id_SignBankVariant=5624

half-hour	30 minutes, half hour	occurrence?id_SignBankVariant=6014

half-limb	half limb	occurrence?id_SignBankVariant=6207
*half-limb (shoe+half-limb)	half limb	occurrence?id_SignBankVariant=4044

half_3	half, once half	occurrence?id_SignBankVariant=6383
half_3* (half_3+brother)	half, once half	occurrence?id_SignBankVariant=5893
half_3* (half_3+sister)	half, once half	occurrence?id_SignBankVariant=5898

half_3+brother	half_3+brother	occurrence?id_SignBankVariant=5906

half_3+sister	half_3+sister	occurrence?id_SignBankVariant=5907

hall	alley, hall, hallway	occurrence?id_SignBankVariant=1445

halloween	halloween, mask	occurrence?id_SignBankVariant=1446

halloween_2	halloween, raccoon	occurrence?id_SignBankVariant=1447

hallucinate	hallucinate, high, tripping	occurrence?id_SignBankVariant=1448

hamburger	burger, hamburger	occurrence?id_SignBankVariant=1449
hamburger-pl	burger, hamburger	occurrence?id_SignBankVariant=1450

hammer	hammer, tool	occurrence?id_SignBankVariant=1451
(1h)hammer	hammer, tool	occurrence?id_SignBankVariant=92
(1h)hammer* ((1h)hammer+agent)	hammer, tool	occurrence?id_SignBankVariant=3132

(1h)hammer+agent	carpenter	occurrence?id_SignBankVariant=3131

*handle (dcl:crvd-5"tall wide cylindrical object"+handle)	*handle (dcl:crvd-5"tall wide cylindrical object"+handle)	occurrence?id_SignBankVariant=3475

hands	hands	occurrence?id_SignBankVariant=1452

handsome/ns-hawaii_2	handsome, hawaii	occurrence?id_SignBankVariant=1453

hang-clothes	hang up clothes	occurrence?id_SignBankVariant=5925

hang-up-phone	hang up the phone	occurrence?id_SignBankVariant=1454
(2h)hang-up-phone	hang up the phone	occurrence?id_SignBankVariant=154
*(2h)hang-up-phone (phone+(2h)hang-up-phone)	hang up the phone	occurrence?id_SignBankVariant=6678
*hang-up-phone (phone+hang-up-phone)	hang up the phone	occurrence?id_SignBankVariant=6690

hanger	hang up clothes, hanger	occurrence?id_SignBankVariant=1455
hanger_2	hang up clothes, hanger	occurrence?id_SignBankVariant=1456

(y)hanger	hanger	occurrence?id_SignBankVariant=5933

hanukkah	Chanukah, Hanukkah	occurrence?id_SignBankVariant=1457
hanukkah_2	Chanukah, Hanukkah	occurrence?id_SignBankVariant=1458

happen	circumstance, coincide, happen, incident, occur, what's going on?, what's happening	occurrence?id_SignBankVariant=1459
*happen (do-do+happen)	circumstance, coincide, happen, incident, occur, what's going on?, what's happening	occurrence?id_SignBankVariant=3484

happy	glad, happy, merry	occurrence?id_SignBankVariant=1460
(1h)happy	glad, happy, merry	occurrence?id_SignBankVariant=93
(1h)happy* ((1h)happy+(1h)most)	glad, happy, merry	occurrence?id_SignBankVariant=3135
(1h)happy* ((1h)happy+new+year)	glad, happy, merry	occurrence?id_SignBankVariant=3138
(1h)happy* ((1h)happy+year)	glad, happy, merry	occurrence?id_SignBankVariant=6203

(1h)happy+(1h)most	happiest	occurrence?id_SignBankVariant=3134

(1h)happy+new+year	Happy New Year	occurrence?id_SignBankVariant=3137

(1h)happy+year	(1h)happy+year	occurrence?id_SignBankVariant=6317

hard	hard, solid	occurrence?id_SignBankVariant=1461

hard-of-hearing	hagerstown, hard of hearing	occurrence?id_SignBankVariant=1462
*hard-of-hearing (hear+hard-of-hearing)	hagerstown, hard of hearing	occurrence?id_SignBankVariant=6102

harmonica	harmonica	occurrence?id_SignBankVariant=1463

harp	harp	occurrence?id_SignBankVariant=1464
(nd-s)harp	harp	occurrence?id_SignBankVariant=296

hat	cap, cat, headwear	occurrence?id_SignBankVariant=1465

hate	abhor, despise, detest, hate, loathe	occurrence?id_SignBankVariant=1466

have	had, has, have, own, possess	occurrence?id_SignBankVariant=1467
(1h)have	had, has, have, own, possess	occurrence?id_SignBankVariant=4302
(v)have	had, has, have, own, possess	occurrence?id_SignBankVariant=353

ns-hawaii	Hawaii	occurrence?id_SignBankVariant=1991

head	head, korea	occurrence?id_SignBankVariant=1468

head-cold	cold, head cold	occurrence?id_SignBankVariant=1469
head-cold* (head-cold+runny-nose)	cold, head cold	occurrence?id_SignBankVariant=6138
head-cold_2	cold, head cold	occurrence?id_SignBankVariant=1470

head-cold+runny-nose	head-cold+runny-nose	occurrence?id_SignBankVariant=6254

headache	headache	occurrence?id_SignBankVariant=1471

headband	headband, headdress	occurrence?id_SignBankVariant=4530

headband_2	headband_2	occurrence?id_SignBankVariant=7887

headline	headline	occurrence?id_SignBankVariant=1472

hear	hear, listen	occurrence?id_SignBankVariant=4692
hear* (hear+(1h)noise)	hear, listen	occurrence?id_SignBankVariant=7910
hear* (hear+(1h)rumble)	hear, listen	occurrence?id_SignBankVariant=6602
hear* (hear+close-window)	hear, listen	occurrence?id_SignBankVariant=6084
hear* (hear+ear-hurt)	hear, listen	occurrence?id_SignBankVariant=3519
hear* (hear+hard-of-hearing)	hear, listen	occurrence?id_SignBankVariant=6101
hear* (hear+noise)	hear, listen	occurrence?id_SignBankVariant=5349
hear* (hear+rumble)	hear, listen	occurrence?id_SignBankVariant=3707
hear* (hear+shut)	hear, listen	occurrence?id_SignBankVariant=3716

hear+(1h)rumble	hear+(1h)rumble	occurrence?id_SignBankVariant=6604

hear+close-window	hear+close-window	occurrence?id_SignBankVariant=6259

hear+ear-hurt	hear+ear-hurt	occurrence?id_SignBankVariant=3518

hear+hard-of-hearing	hear+hard-of-hearing	occurrence?id_SignBankVariant=6297

hear+noise	noisy	occurrence?id_SignBankVariant=5554
hear+(1h)noise	noisy	occurrence?id_SignBankVariant=7912

hear+rumble	thunder	occurrence?id_SignBankVariant=3706

hear+shut	deaf	occurrence?id_SignBankVariant=3715

hear/listen	hear, listen	occurrence?id_SignBankVariant=1473
(2h)(3)listen	hear, listen	occurrence?id_SignBankVariant=6587
(3)listen	hear, listen	occurrence?id_SignBankVariant=175
hear/listen* (hear/listen+rumble)	hear, listen	occurrence?id_SignBankVariant=3719

hear/listen+rumble	thunder	occurrence?id_SignBankVariant=3718

hearing	hear, listen	occurrence?id_SignBankVariant=1474
hearing* (hearing+person)	hear, listen	occurrence?id_SignBankVariant=6616

hearing+person	hearing+person	occurrence?id_SignBankVariant=6640

hearing-aid	hearing aid	occurrence?id_SignBankVariant=1475

heart	heart	occurrence?id_SignBankVariant=1476
(2h)heart* ((2h)heart+soft)	heart	occurrence?id_SignBankVariant=7924
(5)heart* ((5)heart+kind/generous)	heart	occurrence?id_SignBankVariant=5939
heart* (heart+attack)	heart	occurrence?id_SignBankVariant=3722
heart* (heart+beat_4)	heart	occurrence?id_SignBankVariant=3728
heart* (heart+heart-beat)	heart	occurrence?id_SignBankVariant=3731
heart* (heart+soft)	heart	occurrence?id_SignBankVariant=5578

heart+attack	heart attack	occurrence?id_SignBankVariant=3721

heart+beat_4	heart+beat_4	occurrence?id_SignBankVariant=3727

heart+heart-beat	heartbeat	occurrence?id_SignBankVariant=3730

(5)heart+kind/generous	(5)heart+kind/generous	occurrence?id_SignBankVariant=5940

heart+soft	heart+soft	occurrence?id_SignBankVariant=5756
(2h)heart+soft	(2h)heart+soft	occurrence?id_SignBankVariant=7926

heart-beat	heart beat	occurrence?id_SignBankVariant=1477
*heart-beat (heart+heart-beat)	heart beat	occurrence?id_SignBankVariant=3732

heaven	heaven	occurrence?id_SignBankVariant=1478
heaven_2	heaven_2	occurrence?id_SignBankVariant=1479
heaven_3	heaven_3	occurrence?id_SignBankVariant=1480

heavy	bulky, heavy, massive	occurrence?id_SignBankVariant=1481

hedge-shears	hedge shears	occurrence?id_SignBankVariant=5764

height	elevation, height, tallness	occurrence?id_SignBankVariant=1482

height_2	elevation, height, tallness	occurrence?id_SignBankVariant=1483

helicopter	chopper, helicopter	occurrence?id_SignBankVariant=1484
(3)helicopter	chopper, helicopter	occurrence?id_SignBankVariant=173

hell	hell	occurrence?id_SignBankVariant=1485
(2h)hell	hell	occurrence?id_SignBankVariant=6103

hello	greet, hello, hi, wave hello	occurrence?id_SignBankVariant=1486

helmet	head-protector, helmet	occurrence?id_SignBankVariant=1487

help	aid, help	occurrence?id_SignBankVariant=1488
(rd)help	aid, help	occurrence?id_SignBankVariant=327
1p-help-2p	aid, help	occurrence?id_SignBankVariant=7885
1p-help:i	aid, help	occurrence?id_SignBankVariant=370
2p-help-1p	aid, help	occurrence?id_SignBankVariant=4319
help-1p	aid, help	occurrence?id_SignBankVariant=4502
i:help-1p	aid, help	occurrence?id_SignBankVariant=4329

here	here, present	occurrence?id_SignBankVariant=1489

heredity	generations, heredity	occurrence?id_SignBankVariant=1490

ns-#hi	ns-#hi	occurrence?id_SignBankVariant=1942

hide	cover, hide	occurrence?id_SignBankVariant=1491
*hide (secret+hide)	cover, hide	occurrence?id_SignBankVariant=4029
*hide (shh+hide)	cover, hide	occurrence?id_SignBankVariant=6332

high	high (altitude)	occurrence?id_SignBankVariant=1492

high-heels	high heels	occurrence?id_SignBankVariant=1493

high-on-drugs	hallucation, high, tripping	occurrence?id_SignBankVariant=1494

highway	freeway, highway	occurrence?id_SignBankVariant=1495
highway_2	freeway, highway	occurrence?id_SignBankVariant=1496

hill	hill	occurrence?id_SignBankVariant=1497
(2h)hill	hill	occurrence?id_SignBankVariant=155
(2h)hills	hill	occurrence?id_SignBankVariant=156
hills	hill	occurrence?id_SignBankVariant=1498

hippopotamus_2	hippo, hippopotamus	occurrence?id_SignBankVariant=6776

history	history	occurrence?id_SignBankVariant=1499
history* (history+agent)	history	occurrence?id_SignBankVariant=5619

history+agent	history+agent	occurrence?id_SignBankVariant=5736

hit	beat, hit, impact, punch, strike	occurrence?id_SignBankVariant=1500
(nd-5)hit	beat, hit, impact, punch, strike	occurrence?id_SignBankVariant=4599
hit-1p	beat, hit, impact, punch, strike	occurrence?id_SignBankVariant=1501
hit-barrier	beat, hit, impact, punch, strike	occurrence?id_SignBankVariant=5674
hit_2	beat, hit, impact, punch, strike	occurrence?id_SignBankVariant=1502

hitchhike	hitchhike	occurrence?id_SignBankVariant=1503

hockey	hockey	occurrence?id_SignBankVariant=1504
*hockey (fs-field+hockey)	hockey	occurrence?id_SignBankVariant=5427

hold	grasp, grip, hold	occurrence?id_SignBankVariant=1505

hold-in	hold in	occurrence?id_SignBankVariant=5720

ns-hollywood	Hollywood	occurrence?id_SignBankVariant=1992

holy	holy	occurrence?id_SignBankVariant=1506

home	home	occurrence?id_SignBankVariant=1507
home* (home+local)	home	occurrence?id_SignBankVariant=5468
home* (home+make)	home	occurrence?id_SignBankVariant=5441
home* (home+work)	home	occurrence?id_SignBankVariant=3737

home+local	home+local	occurrence?id_SignBankVariant=5765

home+make	home+make	occurrence?id_SignBankVariant=5766

home+work	homework	occurrence?id_SignBankVariant=3736

homework	homework	occurrence?id_SignBankVariant=1508

honest	honest, truth, truthful	occurrence?id_SignBankVariant=1509

honey/dear	dear, honey, sweetie	occurrence?id_SignBankVariant=1510
(horns)honey	dear, honey, sweetie	occurrence?id_SignBankVariant=5651

honeymoon	honeymoon	occurrence?id_SignBankVariant=1511
*honeymoon ((1h)good/thank-you+honeymoon)	honeymoon	occurrence?id_SignBankVariant=7695

honk	honk, honk the horn	occurrence?id_SignBankVariant=5843

honor	honor	occurrence?id_SignBankVariant=1512
(1h)honor	honor	occurrence?id_SignBankVariant=94

hood	hood	occurrence?id_SignBankVariant=5924

hope	anticipate, expect, hope	occurrence?id_SignBankVariant=1513
*hope (think+hope)	anticipate, expect, hope	occurrence?id_SignBankVariant=7080

horse	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=1514
(2h)horse	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=157
(2h)horse* ((2h)horse+icl:s"holding moving pole")	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=6553
(2h)horse* ((2h)horse+ride-on)	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=3163
horse* (horse+icl:s"holding moving pole")	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=3746
horse* (horse+ride-on)	Horace Mann School for the Deaf, horse	occurrence?id_SignBankVariant=5350

horse+icl:s"holding moving pole"	merry-go-round	occurrence?id_SignBankVariant=3745

(2h)horse+icl:s"holding moving pole"	merry-go-round	occurrence?id_SignBankVariant=3159

horse+ride-on+	ride a horse	occurrence?id_SignBankVariant=3748

(2h)horse+ride-on	ride a horse	occurrence?id_SignBankVariant=3162

hospital	hospital, infirmary	occurrence?id_SignBankVariant=1515
(10)hospital	hospital, infirmary	occurrence?id_SignBankVariant=60

(b)hospital_2	hospital, infirmary	occurrence?id_SignBankVariant=205
(h)hospital_2	hospital, infirmary	occurrence?id_SignBankVariant=257

hot	heat, hot	occurrence?id_SignBankVariant=1516
hot* (hot+chocolate)	heat, hot	occurrence?id_SignBankVariant=5406

hot+chocolate	hot+chocolate	occurrence?id_SignBankVariant=5735

hot-spicy	hot spicy, overheated	occurrence?id_SignBankVariant=1517

hotel	hotel, motel	occurrence?id_SignBankVariant=1518
hotel-pl	hotel, motel	occurrence?id_SignBankVariant=1519

hour	hour	occurrence?id_SignBankVariant=1520
*hour (eight+hour)	hour	occurrence?id_SignBankVariant=3562
*hour (five_2+hour)	hour	occurrence?id_SignBankVariant=3617
*hour (four_2+hour)	hour	occurrence?id_SignBankVariant=3620
*hour (nine+hour)	hour	occurrence?id_SignBankVariant=3864
*hour (seven+hour)	hour	occurrence?id_SignBankVariant=4035
*hour (six+hour)	hour	occurrence?id_SignBankVariant=4059
*hour (three_2+hour)	hour	occurrence?id_SignBankVariant=4161
*hour (two+hour)	hour	occurrence?id_SignBankVariant=6181
*hour (two_2+hour)	hour	occurrence?id_SignBankVariant=4205
hour_2	hour	occurrence?id_SignBankVariant=1521
hour_3	hour	occurrence?id_SignBankVariant=1522

house	house	occurrence?id_SignBankVariant=1523
*house (court+house)	house	occurrence?id_SignBankVariant=3460
*house (light+house)	house	occurrence?id_SignBankVariant=3798
house* (house+(p)pay)	house	occurrence?id_SignBankVariant=3752
house-pl	house	occurrence?id_SignBankVariant=1524

house+(p)pay	mortgage	occurrence?id_SignBankVariant=3751

ns-houston	Houston	occurrence?id_SignBankVariant=1993

how	how	occurrence?id_SignBankVariant=1525
(1h)how	how	occurrence?id_SignBankVariant=6605

how-many	how many	occurrence?id_SignBankVariant=4662
(1h)how-many	how many	occurrence?id_SignBankVariant=4663

#hr	#hr	occurrence?id_SignBankVariant=21

#hs	#hs	occurrence?id_SignBankVariant=4313

humble	humble	occurrence?id_SignBankVariant=1529
(1)humble	humble	occurrence?id_SignBankVariant=51
(h)humble	humble	occurrence?id_SignBankVariant=258

humor* (humor+agent)	humor* (humor+agent)	occurrence?id_SignBankVariant=5718

humor+agent	humor+agent	occurrence?id_SignBankVariant=5719

hundred	hundred	occurrence?id_SignBankVariant=1530
*hundred (one+hundred)	hundred	occurrence?id_SignBankVariant=3908
*hundred (one_2+hundred)	hundred	occurrence?id_SignBankVariant=6067

ns-hungary	Hungary	occurrence?id_SignBankVariant=1994

hungry/wish	craving, desire, hunger, hungry, starving, wish	occurrence?id_SignBankVariant=1531
(2h)hungry/wish	craving, desire, hunger, hungry, starving, wish	occurrence?id_SignBankVariant=6105

hunting	hunting	occurrence?id_SignBankVariant=1532
(u-l)hunting	hunting	occurrence?id_SignBankVariant=350

hurricane	hurricane	occurrence?id_SignBankVariant=1533

hurry	haste, hurry, rushing	occurrence?id_SignBankVariant=1534

hurt	ache, agony, harm, hurt, injury, pain, painful, sin, sinned, sore, soreness	occurrence?id_SignBankVariant=1535
hurt_2	ache, agony, harm, hurt, injury, pain, painful, sin, sinned, sore, soreness	occurrence?id_SignBankVariant=1536
hurt_3	ache, agony, harm, hurt, injury, pain, painful, sin, sinned, sore, soreness	occurrence?id_SignBankVariant=1537

husband	husband, spouse	occurrence?id_SignBankVariant=1538

hypocrite	hypocrite	occurrence?id_SignBankVariant=1539

hypothesis	hypothesis	occurrence?id_SignBankVariant=5646

i	I, me	occurrence?id_SignBankVariant=1540

fs-i+phone	iPhone	occurrence?id_SignBankVariant=3621

i-love-you	I love you, ILY	occurrence?id_SignBankVariant=1541
(2h)i-love-you	I love you, ILY	occurrence?id_SignBankVariant=6106

ns-#ibm	ns-#ibm	occurrence?id_SignBankVariant=5257

fs-ice+ice-skate	ice skate	occurrence?id_SignBankVariant=3624

ice-cream	ice cream, lollipop, sucker	occurrence?id_SignBankVariant=1543

ice-skate	ice skate	occurrence?id_SignBankVariant=1544
*ice-skate (fs-ice+ice-skate)	ice skate	occurrence?id_SignBankVariant=3626

#id	#id	occurrence?id_SignBankVariant=5612

idea	idea	occurrence?id_SignBankVariant=1554
idea* (idea+visualize)	idea	occurrence?id_SignBankVariant=6107

idea+visualize	idea+visualize	occurrence?id_SignBankVariant=6238

identification	ID, identification	occurrence?id_SignBankVariant=1555

identify	identification, identify, identity	occurrence?id_SignBankVariant=1556
(1h)identify	identification, identify, identity	occurrence?id_SignBankVariant=6564

if	if, supposing that	occurrence?id_SignBankVariant=1557

#if	#if	occurrence?id_SignBankVariant=22

#ifwg	#ifwg	occurrence?id_SignBankVariant=4669

ignition-off	turn off	occurrence?id_SignBankVariant=1558

ignition-on	turn on	occurrence?id_SignBankVariant=1559

*ignorant (mind+ignorant)	*ignorant (mind+ignorant)	occurrence?id_SignBankVariant=5715

ignore	ignore, neglect	occurrence?id_SignBankVariant=1560

ns-#ill	ns-#ill	occurrence?id_SignBankVariant=5401

illegal	ban, forbid, illegal, prohibit	occurrence?id_SignBankVariant=1561

imagine	imagination, insane, paranoid	occurrence?id_SignBankVariant=1562
(1h)imagine	imagination, insane, paranoid	occurrence?id_SignBankVariant=6438
imagine_2/paranoid	imagination, insane, paranoid	occurrence?id_SignBankVariant=1563

immature	childish, immature	occurrence?id_SignBankVariant=1564

important	counts, crucial, important, key, significant, valuable, worth	occurrence?id_SignBankVariant=1565
important* (important+neg)	counts, crucial, important, key, significant, valuable, worth	occurrence?id_SignBankVariant=6709

important+neg	important+neg	occurrence?id_SignBankVariant=6714

impossible	impossible	occurrence?id_SignBankVariant=1566

impress	impress, impressive	occurrence?id_SignBankVariant=1567
impress-1p	impress, impressive	occurrence?id_SignBankVariant=1568

impress-memory	to impress into one's memory, to remember	occurrence?id_SignBankVariant=1569

improve	improve	occurrence?id_SignBankVariant=1570
improve-a-lot	improve-a-lot	occurrence?id_SignBankVariant=1571

in	in, inside of	occurrence?id_SignBankVariant=1572
*in* (brother+in+law)	in, inside of	occurrence?id_SignBankVariant=3372
*in* (father+in+law)	in, inside of	occurrence?id_SignBankVariant=3595

in-a-few-days	in a few days	occurrence?id_SignBankVariant=5687

in-debt	indebt	occurrence?id_SignBankVariant=5742

in-five-years	five years later	occurrence?id_SignBankVariant=1573

in-four-years	four years later	occurrence?id_SignBankVariant=1574

in-three-years	three years later	occurrence?id_SignBankVariant=1575

inattentive	inattentive	occurrence?id_SignBankVariant=5721

include/involve	include, involve, participate, take part in	occurrence?id_SignBankVariant=1576
include/involve-1p	include, involve, participate, take part in	occurrence?id_SignBankVariant=4708
include/involve:j	include, involve, participate, take part in	occurrence?id_SignBankVariant=4709

incompetent	incompetent, inept	occurrence?id_SignBankVariant=1577
incompetent_2	incompetent, inept	occurrence?id_SignBankVariant=1578

increase	gain, increase, raise	occurrence?id_SignBankVariant=1579
increase_2	gain, increase, raise	occurrence?id_SignBankVariant=5770

ns-#ind	ns-#ind	occurrence?id_SignBankVariant=5985

independent	independent	occurrence?id_SignBankVariant=1580

ns-india	India	occurrence?id_SignBankVariant=1995

individual	individual	occurrence?id_SignBankVariant=1581
individual-pl	individual	occurrence?id_SignBankVariant=1582

industry	industry, internship	occurrence?id_SignBankVariant=1583

inflate	inflated ego	occurrence?id_SignBankVariant=1584

inform	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=1585
(1h)inform	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4757
(1h)inform-2p	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4394
(1h)inform:j	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4390
1p-inform:j	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4382
i:inform-1p	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4377
inform* (inform+subliminal-influence)	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=5181
inform-1p	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=1586
inform-all	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=1587
inform:j	inform, information, let know, news, notify, obey, report	occurrence?id_SignBankVariant=4689

inform+subliminal-influence	inform+subliminal-influence	occurrence?id_SignBankVariant=5239

infrequently	infrequently, not often, occasionally, sometimes	occurrence?id_SignBankVariant=5823
occasionally	infrequently, not often, occasionally, sometimes	occurrence?id_SignBankVariant=5830

inhale	breathe in, inhale	occurrence?id_SignBankVariant=6639

inherit	inherit	occurrence?id_SignBankVariant=5656

inject	give shot, injection, shot, vaccination	occurrence?id_SignBankVariant=1588
(3)inject	give shot, injection, shot, vaccination	occurrence?id_SignBankVariant=174

innocent	innocent, naïve	occurrence?id_SignBankVariant=1589

inspire	inspire, motivated	occurrence?id_SignBankVariant=1590
(1h)inspire	inspire, motivated	occurrence?id_SignBankVariant=4670
(5)inspire	inspire, motivated	occurrence?id_SignBankVariant=184

institute	institute, institution, residential school, school for the deaf	occurrence?id_SignBankVariant=1592
(nd-s)institute	institute, institution, residential school, school for the deaf	occurrence?id_SignBankVariant=297
(nd-s)institute_2	institute, institution, residential school, school for the deaf	occurrence?id_SignBankVariant=298

insult	insult, put down	occurrence?id_SignBankVariant=1593
(2h)insult-1p	insult, put down	occurrence?id_SignBankVariant=6260

insurance/infection	infection, insurance	occurrence?id_SignBankVariant=1594

